CODGEO,SUPERF,P20_RP,MED20,TP6020,P20_EMPLT,ETOQ21
77212,7.55,77.0545454545455,27380,s,16.7579793672267,1.0
77214,3.34,323.112265408516,33540,s,98.8816775325045,4.0
77215,13.51,3377.43910332623,23710,"12,0",2978.86959653982,18.0
77216,12.97,584.42370695635,25940,s,210.552372174627,4.0
77217,18.34,985.013683138653,28110,s,432.208818013529,6.0
77218,6.57,47.6531830198157,21710,s,21.7838529931572,2.0
77219,19.8,1022.87251968194,27610,s,233.225940666855,8.0
77220,9.21,108.0,26360,s,35.791802821588,2.0
77221,1.26,446.085363987436,32580,s,164.416997009754,3.0
77222,5.68,1638.52649400167,23880,"7,0",616.811404414837,8.0
